  sta seedchan net location config   ondate     offdate   digitizer  clip   corr
 SZCU   HHE     UU    01       0   2013/07/01  2099/01/01 SMART-24R 4.27e6  0.00
 SZCU   HHN     UU    01       0   2013/07/01  2099/01/01 SMART-24R 4.27e6  0.00
 SZCU   HHZ     UU    01   exclude 2013/07/01  2099/01/01 SMART-24R 4.27e6  0.00
 SZCU   ENE     UU    01       0   2009/10/22  2099/01/01 SMART-24R 6.04e6  0.00
 SZCU   ENN     UU    01       0   2009/10/22  2099/01/01 SMART-24R 6.04e6  0.00
 TCRU   HHE     UU    01       1   2009/11/17  2099/01/01 SMART-24R 4.27e6 -0.10
 TCRU   HHN     UU    01       1   2009/11/17  2099/01/01 SMART-24R 4.27e6 -0.10
 TCRU   HHZ     UU    01   exclude 2009/11/17  2099/01/01 SMART-24R 4.27e6  0.00
 TCRU   ENE     UU    01       2   2009/11/17  2099/01/01 SMART-24R 6.04e6 -0.10
 TCRU   ENN     UU    01       2   2009/11/17  2099/01/01 SMART-24R 6.04e6 -0.10
 TCU    HHE     UU    01       1   2001/10/26  2010/09/13 72A-08    3.67e6 -0.55
 TCU    HHN     UU    01       1   2001/10/26  2010/09/13 72A-08    3.67e6 -0.55
 TCU    HHZ     UU    01   exclude 2001/10/26  2010/09/13 72A-08    3.67e6  0.00
 TCU    HHE     UU    01       1   2001/09/14  2099/01/01 130-01    4.41e6 -0.55
 TCU    HHN     UU    01       1   2001/09/14  2099/01/01 130-01    4.41e6 -0.55
 TCU    HHZ     UU    01   exclude 2001/09/14  2099/01/01 130-01    4.41e6  0.00
 TCU    ENE     UU    01       2   2001/10/26  2010/09/13 72A-08    5.19e6 -0.55
 TCU    ENN     UU    01       2   2001/10/26  2010/09/13 72A-08    5.19e6 -0.55
 TCU    ENE     UU    01       2   2001/09/14  2099/01/01 130-01    6.23e6 -0.55
 TCU    ENN     UU    01       2   2001/09/14  2099/01/01 130-01    6.23e6 -0.55
 TM2    EHE     UU    01       1   2000/12/01  2008/01/18 72A-08    3.67e6 -0.28
 TM2    EHN     UU    01       1   2000/12/01  2008/01/18 72A-08    3.67e6 -0.28
 TMU    HHE     UU    01       1   2002/05/29  2010/09/29 72A-08    3.67e6 -0.28
 TMU    HHN     UU    01       1   2002/05/29  2010/09/29 72A-08    3.67e6 -0.28
 TMU    HHZ     UU    01   exclude 2002/05/29  2010/09/29 72A-08    3.67e6  0.00
 TMU    HHE     UU    01       1   2002/09/30  2099/01/01 130-01    4.41e6 -0.28
