Evid,EqLon,EqLat,EqDep,CatMag,Namps
50299345,-111.13,44.777,9.21,1.9,6
50299415,-111.126,44.787,9.4,1.9,5
50299435,-111.128,44.779,8.56,1.57,4
50299930,-110.238,44.353,5.6,1.48,3
50299935,-110.228,44.336,5.28,1.89,3
50300190,-111.411,44.797,5.93,1.69,3
50300665,-110.349,44.632,5.93,1.61,3
50300910,-110.824,44.026,6.3,2.03,5
50300975,-110.791,44.256,3.82,1.77,4
50300980,-110.788,44.249,2.01,1.8,4
50301215,-110.437,44.063,2.28,2.96,6
50301465,-110.232,44.343,5.84,2.28,4
50301475,-111.026,44.675,8.06,1.72,5
50301655,-110.267,44.39,6.78,1.51,4
50302480,-110.97,44.625,9.1,1.95,4
50303085,-110.45,44.026,6.66,1.68,5
